"","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","depth","TOT","TSG","TMA","class"
"1022",0.035529334,0.046827365,0.019166499,0.008313497,-0.62075913,-0.698463321,0.698463321,-0.592412889,0.428350061,0.046202317,-0.365943313,-2.114656448,62.5,0,62.5,"MA High"
"1023",0.035144527,0.045332287,0.017575322,0.008309458,-0.617551386,-0.690186858,0.690186858,-0.536948562,0.457375467,0.109466948,-0.339320809,-2.136252642,39.5,0,39.5,"MA Low"
"1024",0.037291564,0.047569577,0.01848365,0.008310979,-0.635503709,-0.702544868,0.702544868,-0.569480002,0.457414091,0.125650167,-0.325491935,-2.121782064,96,0,96,"MA High"
"1025",0.035525765,0.048066333,0.018483799,0.008311104,-0.620816708,-0.705162048,0.705162048,-0.569475532,0.396126002,0.077134356,-0.315108865,-2.119101763,21.9,9,12.4,"MA Low"
"1026",0.035023503,0.04645386,0.019278584,0.008535054,-0.608111262,-0.689571857,0.689571857,-0.579402685,0.423861772,0.026873993,-0.377925694,-2.113768578,87,0,87,"MA High"
"1027",0.066838428,0.073980376,0.034807824,0.009093292,-0.760487676,-0.781078815,0.781078815,-0.878606319,0.497696847,0.167596295,-0.315291196,-2.03318429,64,0,64,"MA High"
"1028",0.057847016,0.06548427,0.025564702,0.009113271,-0.727800727,-0.755668342,0.755668342,-0.711608708,0.503282547,0.287187397,-0.226927385,-2.266709805,96,2,94,"MA High"
"1029",0.058108393,0.063985415,0.024197182,0.008219652,-0.752151549,-0.7723248,0.7723248,-0.739316344,0.536273956,0.33873418,-0.21261172,-2.270786285,93.5,0,93.5,"MA High"
"1030",0.056090716,0.057100844,0.021922275,0.009129302,-0.720046043,-0.724315822,0.724315822,-0.617986679,0.640966296,0.387871504,-0.25915426,-2.214242935,94.5,2.5,92,"MA High"
"1031",0.051263921,0.053217318,0.020327486,0.007002079,-0.759651303,-0.76744771,0.76744771,-0.731373191,0.637626588,0.362512231,-0.278110534,-2.140037775,29,0,29,"MA Low"
