"","Point_code","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","Year","Accuracy.m.","UTM.Zone","UTM.Easting","UTM.Northing","TOT","T_DR","TSG","Tt","Sf","Hw","TMA"
"79","BB24_R",0.031293228,0.0413635,0.019462682,0.047853943,0.209239498,0.072748587,-0.072748587,0.632635534,0.454012573,-0.093875423,-0.500464082,2023,0.5338041,"17 R",583482,2843224,"58.75","58.75","58.75","0","58.75","0",0
"80","BB24_S",0.036345873,0.048512906,0.018511275,0.018059749,-0.336107254,-0.457442433,0.457442433,-0.018519813,0.407572448,0.09868589,-0.306873381,2023,0.5327104,"17 R",583462,2843218,"48.25","48.25","48.25","27.75","20.5","0",0
"86","BB26_C",0.030943414,0.039861951,0.024819564,0.021476449,-0.18059881,-0.299738854,0.299738854,-0.108317576,0.488256633,-0.313144922,-0.703153908,2023,0.30122748,"17 R",584371,2844836,"97.25","97.25","97.25","88.75","8.5","0",0
"87","BB26_E",0.033062238,0.039727934,0.026116198,0.02089759,-0.225438982,-0.310600936,0.310600936,-0.166502491,0.558630884,-0.29048413,-0.741229713,2023,0.3005204,"17 R",584358,2844826,"99.75","99.75","99.75","96.75","3","0",0
"88","BB26_L",0.024026522,0.033882972,0.019026097,0.029434042,0.101149693,-0.070264362,0.070264362,0.322159976,0.435160935,-0.338707238,-0.684487283,2023,0.30193457,"17 R",584379,2844825,"100","100","100","100","0","0",0
"89","BB26_R",0.035323706,0.048684049,0.029190227,0.016167991,-0.372015595,-0.501388371,0.501388371,-0.43064642,0.374714106,-0.319532752,-0.613777101,2023,0.3019346,"17 R",584360,2844849,"100","100","100","14.75","85.25","0",0
"90","BB26_S",0.032275431,0.041163061,0.028129293,0.020785531,-0.216541499,-0.328942597,0.328942597,-0.225200489,0.490892529,-0.378103822,-0.756353736,2023,0.30122748,"17 R",584384,2844845,"100","100","100","2","98","0",0
"91","BB28_C",0.047964357,0.072967038,0.047914013,0.011976953,-0.600377321,-0.718003511,0.718003511,-0.900062144,0.182842702,-0.437648326,-0.546890855,2023,0.51160496,"17 R",569617,2808367,"48","48","41.25","41.25","0","0",6.75
"92","BB28_CE",0.04594807,0.069955796,0.044572383,0.008940431,-0.674233019,-0.773362279,0.773362279,-0.998787463,0.191738784,-0.418739378,-0.539761722,2023,0.59662396,"17 R",569625,2808365,"36.9","36.9","24.9","24.9","0","0",12
"93","BB28_CL",0.049038239,0.075845301,0.048510063,0.011042286,-0.632417142,-0.745825946,0.745825946,-0.94373548,0.157394141,-0.42608428,-0.516629338,2023,0.45419574,"17 R",569609,2808374,"44.05","44.05","32.8","32.8","0","0",11.25
