"","Station","Year","GRID","TOT","easting","northing"
"44","BH10",2009,2,3,585482.838493421,2861559.18237078
"45","BH10",2009,3,5,585546.058347897,2861522.68237078
"46","BH10",2010,1,2,585431.742994597,2861588.68237078
"47","BH10",2010,2,1,585482.838493421,2861559.18237078
"48","BH10",2010,3,1,585546.058347897,2861522.68237078
"49","BH10",2011,1,0,585431.742994597,2861588.68237078
"50","BH10",2011,2,0,585482.838493421,2861559.18237078
"51","BH10",2011,3,0,585546.058347897,2861522.68237078
"52","BH10",2012,1,0,585431.742994597,2861588.68237078
"53","BH10",2012,2,0,585482.838493421,2861559.18237078
"54","BH10",2012,3,0,585546.058347897,2861522.68237078
"55","BH10",2013,1,0,585431.742994597,2861588.68237078
"56","BH10",2013,2,0,585482.838493421,2861559.18237078
"57","BH10",2013,3,0,585546.058347897,2861522.68237078
"58","BH10",2014,1,0,585431.742994597,2861588.68237078
"59","BH10",2014,2,0,585482.838493421,2861559.18237078
"60","BH10",2014,3,0,585546.058347897,2861522.68237078
"61","BH10",2016,1,0,585431.742994597,2861588.68237078
"62","BH10",2016,2,0,585482.838493421,2861559.18237078
"63","BH10",2016,3,0,585546.058347897,2861522.68237078
"64","BH10",2017,1,0,585431.742994597,2861588.68237078
"65","BH10",2017,2,0,585482.838493421,2861559.18237078
"66","BH10",2017,3,0,585546.058347897,2861522.68237078
"67","BH10",2018,1,2,585431.742994597,2861588.68237078
"68","BH10",2018,2,2,585482.838493421,2861559.18237078
"69","BH10",2018,3,2,585546.058347897,2861522.68237078
"70","BH10",2019,1,1,585431.742994597,2861588.68237078
"71","BH10",2019,2,2,585482.838493421,2861559.18237078
"72","BH10",2019,3,2,585546.058347897,2861522.68237078
"73","BH10",2020,1,3,585431.742994597,2861588.68237078
"74","BH10",2020,2,4,585482.838493421,2861559.18237078
"75","BH10",2020,3,4,585546.058347897,2861522.68237078
"76","BH10",2021,1,2,585431.742994597,2861588.68237078
"77","BH10",2021,2,3,585482.838493421,2861559.18237078
"78","BH10",2021,3,3,585546.058347897,2861522.68237078
"79","BH10",2022,1,4,585431.742994597,2861588.68237078
"80","BH10",2022,2,4,585482.838493421,2861559.18237078
